1,10,12,2022,08,00,220000,15,0,0
2,10,12,2022,16,00,280000,10,80000,70000
1,10,12,2022,09,30,350000,18,35000,120000
2,10,12,2022,20,10,400000,12,30000,115000
1,10,12,2022,13,00,550000,13,40000,80000
1,10,12,2022,07,00,200000,10,00,0
2,10,12,2022,14,00,220000,9,100000,83000
1,10,12,2022,10,30,300000,6,150000,60000
1,10,12,2022,11,00,320000,12,50000,94000
2,10,12,2022,17,30,280000,8,0,0
3,10,12,2022,18,00,250000,11,0,0
1,10,12,2022,20,20,180000,10,18000,76000
2,10,12,2022,19,15,190000,12,26000,94000
1,10,12,2022,21,00,350000,11,0,0
2,10,12,2022,07,25,320000,9,105000,65000
1,10,12,2022,06,30,380000,7,100000,100000
